# the CSV layout may change over time.
# Band Name                        ,Catalogue Name                     ,Date Observed                      ,RA (J2000)                         ,RA Uncertainty                     ,DEC (J2000)                        ,DEC Uncertainty                    ,Flux Density                       ,Flux Density Uncertainty           ,Frequency                          ,Separation                         ,UV Min                             ,UV Max                             ,Names
#                                  ,                                   ,                                   ,hexagesimal                        ,decimal degrees                    ,hexagesimal                        ,decimal degrees                    ,Jy                                 ,Jy                                 ,GHz                                ,degrees                            ,klambda                            ,klambda                            ,separated by '|'
#width:35                          ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width: until EOL                   
# (note: uvmin: if greater than zero, the scale of the measured (large scale) extent of the source.)
# (note: uvmax: the scale where (small scale) structure has been measured within the source, or a limit on the resolved structure. On angular scales between uvmin and uvmax the source appears as a point source, i.e. the amplitude is constant as a function of scale.)
ALMA-Band 7                        ,ALMA                               ,2017-05-15 00:00:00.0              ,10:58:29.6050                      ,2.777777777777778E-8               ,+01:33:58.824                      ,2.777777777777778E-8               ,2.65                               ,0.09                               ,3.4348E11                          ,0.09                               ,                                   ,-1367.3                            ,J1058+0133|J1058+015|J105830+013340|B1055+018
ALMA-Band 7                        ,ALMA                               ,2017-05-15 00:00:00.0              ,10:37:16.0800                      ,3.3333333333333334E-8              ,-29:34:02.813                      ,2.777777777777778E-8               ,0.95                               ,0.05                               ,3.4348E11                          ,0.05                               ,                                   ,-1470.1                            ,J1037-2934|J1037-295|J103716-293421|B1034-293
ALMA-Band 7                        ,ALMA                               ,2017-05-15 00:00:00.0              ,13:37:39.7830                      ,2.777777777777778E-8               ,-12:57:24.693                      ,2.7777777777777784E-8              ,1.75                               ,0.08                               ,3.4348E11                          ,0.08                               ,                                   ,-1343.8                            ,J1337-1257|J1337-129|J133739-125720|B1334-127
ALMA-Band 7                        ,ALMA                               ,2017-05-15 00:00:00.0              ,12:56:11.1670                      ,2.777777777777778E-8               ,-05:47:21.525                      ,2.7777777777777784E-8              ,7.49                               ,0.07                               ,3.4348E11                          ,0.07                               ,                                   ,-1286.3                            ,J1256-0547|J1256-057|J125610-054722|3C279|B1253-055
ALMA-Band 3                        ,ALMA                               ,2017-05-15 00:00:00.0              ,15:17:41.8130                      ,3.0555555555555556E-8              ,-24:22:19.476                      ,2.777777777777778E-8               ,2.55                               ,0.06                               ,1.0349E11                          ,0.06                               ,                                   ,-1419.8                            ,J1517-2422|J1517-243|J151743-242216|B1514-241
ALMA-Band 3                        ,ALMA                               ,2017-05-15 00:00:00.0              ,11:46:58.2980                      ,3.611111111111111E-8               ,+39:58:34.304                      ,2.777777777777778E-8               ,1.4                                ,0.05                               ,1.0349E11                          ,0.05                               ,                                   ,-1320.7                            ,J1146+3958|J1146+399|J114657+395840|B1144+402
ALMA-Band 3                        ,ALMA                               ,2017-05-15 00:00:00.0              ,11:07:08.6940                      ,3.888888888888889E-8               ,-44:49:07.618                      ,2.777777777777778E-8               ,1.14                               ,0.05                               ,1.0349E11                          ,0.05                               ,                                   ,-1466.8                            ,J1107-4449|J1107-448|J110707-444905|B1104-445
ALMA-Band 3                        ,ALMA                               ,2017-05-15 00:00:00.0              ,12:29:06.7000                      ,2.777777777777778E-8               ,+02:03:08.598                      ,2.7777777777777784E-8              ,11.71                              ,0.55                               ,1.0349E11                          ,0.55                               ,20.0                               ,3000.0                             ,J1229+0203|J1229+020|3C273|B1226+023
ALMA-Band 3                        ,ALMA                               ,2017-05-15 00:00:00.0              ,15:50:35.2690                      ,2.777777777777778E-8               ,+05:27:10.448                      ,2.777777777777778E-8               ,1.0                                ,0.05                               ,1.0349E11                          ,0.05                               ,                                   ,-1431.6                            ,J1550+0527|J1550+054|J155035+052702|B1548+056
ALMA-Band 3                        ,ALMA                               ,2017-05-15 00:00:00.0              ,10:58:29.6050                      ,2.777777777777778E-8               ,+01:33:58.824                      ,2.777777777777778E-8               ,4.75                               ,0.19                               ,1.0349E11                          ,0.19                               ,                                   ,-1367.3                            ,J1058+0133|J1058+015|J105830+013340|B1055+018
ALMA-Band 3                        ,ALMA                               ,2017-05-15 00:00:00.0              ,10:37:16.0800                      ,3.3333333333333334E-8              ,-29:34:02.813                      ,2.777777777777778E-8               ,1.95                               ,0.05                               ,1.0349E11                          ,0.05                               ,                                   ,-1470.1                            ,J1037-2934|J1037-295|J103716-293421|B1034-293
ALMA-Band 3                        ,ALMA                               ,2017-05-15 00:00:00.0              ,14:27:56.2980                      ,3.888888888888889E-8               ,-42:06:19.438                      ,2.777777777777778E-8               ,3.09                               ,0.06                               ,1.0349E11                          ,0.06                               ,                                   ,-1259.8                            ,J1427-4206|J1427-421|J142755-420612|B1424-418
ALMA-Band 3                        ,ALMA                               ,2017-05-15 00:00:00.0              ,16:17:17.8911                      ,2.7777777777777776E-7              ,-58:48:07.861                      ,1.361111111111111E-7               ,1.07                               ,0.04                               ,1.0349E11                          ,0.04                               ,                                   ,-752.0                             ,J1617-5848|J1613-586
